 ,Area,Mean,Min,Max
1,0.016,75.677,0,225
2,0.014,61.919,0,195
3,0.026,72.295,0,220
4,0.015,89.941,0,224
5,0.014,76.097,0,226
6,0.022,105.999,0,238
7,0.013,60.934,0,221
8,0.017,68.996,0,210
