 ,Area,Mean,Min,Max
1,4542.210,161.482,91,246
2,5193.180,154.705,100,223
3,3131.730,142.212,109,203
4,2688.390,155.574,99,206
5,2764.530,154.779,91,231
6,4120.470,159.822,106,226
7,2128.410,151.250,116,185
8,2068.740,150.349,99,212
