 ,Area,Mean,Min,Max,Angle,Length
1,28.170,155.604,118.785,183.907,-78.906,93.548
2,27.180,134.902,117.729,157.052,-84.289,90.449
3,32.490,164.023,137.401,195.161,-79.439,108.030
4,25.830,160.872,143.776,187.468,-80.340,85.817
5,18.540,156.697,121.811,180.472,-83.290,61.622
6,35.100,155.006,136.092,199.333,-81.119,116.598
7,21.780,152.067,124.866,185.550,-85.711,72.202
8,25.470,155.937,125.418,199.667,-91.219,84.619
