 ,Area,Mean,Min,Max,Angle,Length
1,1.705E-4,41.416,0.000,134,0.000,0.113
2,2.192E-4,46.848,0.143,151,-5.247,0.146
3,1.506E-4,37.265,0.000,107,0.000,0.100
4,2.369E-4,64.193,15.000,158,-4.316,0.158
5,2.259E-4,41.834,0.000,196,-2.268,0.150
6,1.439E-4,72.877,24.000,150,0.000,0.095
7,2.082E-4,58.202,0.000,152,0.000,0.138
8,2.082E-4,71.649,15.000,155,0.000,0.138
